Dealer_Up,Drawn_Cards,Num_of_Hits,Did_YOU_Win
10 of Clubs,"['10 of Clubs', '4 of Diamonds', '3 of Hearts', '2 of Clubs', 'Queen of Clubs', 'King of Hearts', 'Jack of Spades', '2 of Hearts', 'Ace of Spades', '7 of Spades', 'Ace of Diamonds']",11,False
10 of Clubs,"['10 of Clubs', '4 of Diamonds', '3 of Hearts', '2 of Clubs', 'Queen of Clubs', 'King of Hearts', 'Jack of Spades', '2 of Hearts', 'Ace of Spades', '7 of Spades', 'Ace of Diamonds', '3 of Diamonds', 'Queen of Spades']",4,False
10 of Clubs,"['10 of Clubs', '4 of Diamonds', '3 of Hearts', '2 of Clubs', 'Queen of Clubs', 'King of Hearts', 'Jack of Spades', '2 of Hearts', 'Ace of Spades', '7 of Spades', 'Ace of Diamonds', '3 of Diamonds', 'Queen of Spades', '6 of Diamonds']",0,False
10 of Clubs,"['10 of Clubs', '4 of Diamonds', '3 of Hearts', '2 of Clubs', 'Queen of Clubs', 'King of Hearts', 'Jack of Spades', '2 of Hearts', 'Ace of Spades', '7 of Spades', 'Ace of Diamonds', '3 of Diamonds', 'Queen of Spades', '6 of Diamonds']",2,False
10 of Clubs,"['10 of Clubs', '4 of Diamonds', '3 of Hearts', '2 of Clubs', 'Queen of Clubs', 'King of Hearts', 'Jack of Spades', '2 of Hearts', 'Ace of Spades', '7 of Spades', 'Ace of Diamonds', '3 of Diamonds', 'Queen of Spades', '6 of Diamonds']",0,False
Jack of Hearts,"['Jack of Hearts', '10 of Spades', 'King of Hearts', '2 of Spades', '8 of Clubs', '3 of Clubs', '7 of Hearts', '4 of Spades', '4 of Diamonds', 'Queen of Diamonds', '2 of Diamonds']",11,True
Jack of Hearts,"['Jack of Hearts', '10 of Spades', 'King of Hearts', '2 of Spades', '8 of Clubs', '3 of Clubs', '7 of Hearts', '4 of Spades', '4 of Diamonds', 'Queen of Diamonds', '2 of Diamonds']",5,True
Jack of Hearts,"['Jack of Hearts', '10 of Spades', 'King of Hearts', '2 of Spades', '8 of Clubs', '3 of Clubs', '7 of Hearts', '4 of Spades', '4 of Diamonds', 'Queen of Diamonds', '2 of Diamonds', '8 of Diamonds']",0,False
Jack of Hearts,"['Jack of Hearts', '10 of Spades', 'King of Hearts', '2 of Spades', '8 of Clubs', '3 of Clubs', '7 of Hearts', '4 of Spades', '4 of Diamonds', 'Queen of Diamonds', '2 of Diamonds', '8 of Diamonds']",3,False
Jack of Hearts,"['Jack of Hearts', '10 of Spades', 'King of Hearts', '2 of Spades', '8 of Clubs', '3 of Clubs', '7 of Hearts', '4 of Spades', '4 of Diamonds', 'Queen of Diamonds', '2 of Diamonds', '8 of Diamonds', '7 of Diamonds']",0,False
4 of Hearts,"['4 of Hearts', '2 of Spades', 'Queen of Clubs', '9 of Hearts', '10 of Hearts', 'Ace of Spades', '6 of Spades', '3 of Clubs', 'King of Diamonds', '9 of Spades', 'King of Spades']",13,False
4 of Hearts,"['4 of Hearts', '2 of Spades', 'Queen of Clubs', '9 of Hearts', '10 of Hearts', 'Ace of Spades', '6 of Spades', '3 of Clubs', 'King of Diamonds', '9 of Spades', 'King of Spades', '4 of Clubs', 'Queen of Hearts']",5,True
4 of Hearts,"['4 of Hearts', '2 of Spades', 'Queen of Clubs', '9 of Hearts', '10 of Hearts', 'Ace of Spades', '6 of Spades', '3 of Clubs', 'King of Diamonds', '9 of Spades', 'King of Spades', '4 of Clubs', 'Queen of Hearts']",0,True
4 of Hearts,"['4 of Hearts', '2 of Spades', 'Queen of Clubs', '9 of Hearts', '10 of Hearts', 'Ace of Spades', '6 of Spades', '3 of Clubs', 'King of Diamonds', '9 of Spades', 'King of Spades', '4 of Clubs', 'Queen of Hearts']",3,True
4 of Hearts,"['4 of Hearts', '2 of Spades', 'Queen of Clubs', '9 of Hearts', '10 of Hearts', 'Ace of Spades', '6 of Spades', '3 of Clubs', 'King of Diamonds', '9 of Spades', 'King of Spades', '4 of Clubs', 'Queen of Hearts']",0,True
4 of Hearts,"['4 of Hearts', '8 of Spades', '2 of Clubs', 'Ace of Diamonds', '7 of Hearts', 'King of Clubs', 'Ace of Hearts', '6 of Diamonds', '10 of Clubs', '4 of Spades', 'Jack of Diamonds']",14,True
4 of Hearts,"['4 of Hearts', '8 of Spades', '2 of Clubs', 'Ace of Diamonds', '7 of Hearts', 'King of Clubs', 'Ace of Hearts', '6 of Diamonds', '10 of Clubs', '4 of Spades', 'Jack of Diamonds', '8 of Hearts']",6,True
4 of Hearts,"['4 of Hearts', '8 of Spades', '2 of Clubs', 'Ace of Diamonds', '7 of Hearts', 'King of Clubs', 'Ace of Hearts', '6 of Diamonds', '10 of Clubs', '4 of Spades', 'Jack of Diamonds', '8 of Hearts', 'King of Diamonds']",0,False
4 of Hearts,"['4 of Hearts', '8 of Spades', '2 of Clubs', 'Ace of Diamonds', '7 of Hearts', 'King of Clubs', 'Ace of Hearts', '6 of Diamonds', '10 of Clubs', '4 of Spades', 'Jack of Diamonds', '8 of Hearts', 'King of Diamonds']",3,False
4 of Hearts,"['4 of Hearts', '8 of Spades', '2 of Clubs', 'Ace of Diamonds', '7 of Hearts', 'King of Clubs', 'Ace of Hearts', '6 of Diamonds', '10 of Clubs', '4 of Spades', 'Jack of Diamonds', '8 of Hearts', 'King of Diamonds']",0,False
6 of Clubs,"['6 of Clubs', '2 of Hearts', '6 of Hearts', '9 of Spades', '2 of Clubs', '7 of Clubs', '4 of Clubs', '4 of Spades', '9 of Clubs', '9 of Hearts', '5 of Hearts']",15,True
6 of Clubs,"['6 of Clubs', '2 of Hearts', '6 of Hearts', '9 of Spades', '2 of Clubs', '7 of Clubs', '4 of Clubs', '4 of Spades', '9 of Clubs', '9 of Hearts', '5 of Hearts', 'Queen of Diamonds']",7,True
6 of Clubs,"['6 of Clubs', '2 of Hearts', '6 of Hearts', '9 of Spades', '2 of Clubs', '7 of Clubs', '4 of Clubs', '4 of Spades', '9 of Clubs', '9 of Hearts', '5 of Hearts', 'Queen of Diamonds', 'Queen of Hearts']",0,True
6 of Clubs,"['6 of Clubs', '2 of Hearts', '6 of Hearts', '9 of Spades', '2 of Clubs', '7 of Clubs', '4 of Clubs', '4 of Spades', '9 of Clubs', '9 of Hearts', '5 of Hearts', 'Queen of Diamonds', 'Queen of Hearts']",3,True
6 of Clubs,"['6 of Clubs', '2 of Hearts', '6 of Hearts', '9 of Spades', '2 of Clubs', '7 of Clubs', '4 of Clubs', '4 of Spades', '9 of Clubs', '9 of Hearts', '5 of Hearts', 'Queen of Diamonds', 'Queen of Hearts']",0,True
8 of Spades,"['8 of Spades', '7 of Spades', '5 of Diamonds', '2 of Diamonds', 'Queen of Clubs', '2 of Spades', '4 of Diamonds', '6 of Spades', '4 of Clubs', '4 of Spades', '3 of Hearts']",16,False
8 of Spades,"['8 of Spades', '7 of Spades', '5 of Diamonds', '2 of Diamonds', 'Queen of Clubs', '2 of Spades', '4 of Diamonds', '6 of Spades', '4 of Clubs', '4 of Spades', '3 of Hearts', '5 of Hearts']",9,False
8 of Spades,"['8 of Spades', '7 of Spades', '5 of Diamonds', '2 of Diamonds', 'Queen of Clubs', '2 of Spades', '4 of Diamonds', '6 of Spades', '4 of Clubs', '4 of Spades', '3 of Hearts', '5 of Hearts', '2 of Hearts', '6 of Hearts']",0,False
8 of Spades,"['8 of Spades', '7 of Spades', '5 of Diamonds', '2 of Diamonds', 'Queen of Clubs', '2 of Spades', '4 of Diamonds', '6 of Spades', '4 of Clubs', '4 of Spades', '3 of Hearts', '5 of Hearts', '2 of Hearts', '6 of Hearts']",4,False
8 of Spades,"['8 of Spades', '7 of Spades', '5 of Diamonds', '2 of Diamonds', 'Queen of Clubs', '2 of Spades', '4 of Diamonds', '6 of Spades', '4 of Clubs', '4 of Spades', '3 of Hearts', '5 of Hearts', '2 of Hearts', '6 of Hearts', '8 of Diamonds']",0,False
9 of Diamonds,"['9 of Diamonds', '6 of Clubs', '3 of Spades', '5 of Clubs', '7 of Spades', '8 of Clubs', 'Ace of Spades', '5 of Diamonds', '5 of Spades', 'Ace of Clubs', '4 of Spades']",17,False
9 of Diamonds,"['9 of Diamonds', '6 of Clubs', '3 of Spades', '5 of Clubs', '7 of Spades', '8 of Clubs', 'Ace of Spades', '5 of Diamonds', '5 of Spades', 'Ace of Clubs', '4 of Spades', 'Queen of Spades']",10,False
9 of Diamonds,"['9 of Diamonds', '6 of Clubs', '3 of Spades', '5 of Clubs', '7 of Spades', '8 of Clubs', 'Ace of Spades', '5 of Diamonds', '5 of Spades', 'Ace of Clubs', '4 of Spades', 'Queen of Spades', '8 of Spades']",0,False
9 of Diamonds,"['9 of Diamonds', '6 of Clubs', '3 of Spades', '5 of Clubs', '7 of Spades', '8 of Clubs', 'Ace of Spades', '5 of Diamonds', '5 of Spades', 'Ace of Clubs', '4 of Spades', 'Queen of Spades', '8 of Spades']",6,False
9 of Diamonds,"['9 of Diamonds', '6 of Clubs', '3 of Spades', '5 of Clubs', '7 of Spades', '8 of Clubs', 'Ace of Spades', '5 of Diamonds', '5 of Spades', 'Ace of Clubs', '4 of Spades', 'Queen of Spades', '8 of Spades', '2 of Diamonds', '2 of Hearts']",0,False
5 of Spades,"['5 of Spades', '8 of Spades', '3 of Clubs', '2 of Diamonds', '9 of Diamonds', 'King of Diamonds', '7 of Diamonds', '4 of Clubs', '3 of Diamonds', '3 of Hearts', '9 of Spades']",18,True
5 of Spades,"['5 of Spades', '8 of Spades', '3 of Clubs', '2 of Diamonds', '9 of Diamonds', 'King of Diamonds', '7 of Diamonds', '4 of Clubs', '3 of Diamonds', '3 of Hearts', '9 of Spades', '9 of Hearts']",11,True
5 of Spades,"['5 of Spades', '8 of Spades', '3 of Clubs', '2 of Diamonds', '9 of Diamonds', 'King of Diamonds', '7 of Diamonds', '4 of Clubs', '3 of Diamonds', '3 of Hearts', '9 of Spades', '9 of Hearts', 'Jack of Spades']",0,True
5 of Spades,"['5 of Spades', '8 of Spades', '3 of Clubs', '2 of Diamonds', '9 of Diamonds', 'King of Diamonds', '7 of Diamonds', '4 of Clubs', '3 of Diamonds', '3 of Hearts', '9 of Spades', '9 of Hearts', 'Jack of Spades']",6,True
5 of Spades,"['5 of Spades', '8 of Spades', '3 of Clubs', '2 of Diamonds', '9 of Diamonds', 'King of Diamonds', '7 of Diamonds', '4 of Clubs', '3 of Diamonds', '3 of Hearts', '9 of Spades', '9 of Hearts', 'Jack of Spades']",0,True
Ace of Clubs,"['Ace of Clubs', '8 of Clubs', '9 of Diamonds', '10 of Hearts', '6 of Diamonds', 'Ace of Hearts', '2 of Clubs', '7 of Spades', '7 of Clubs', '4 of Spades', '2 of Diamonds']",18,True
Ace of Clubs,"['Ace of Clubs', '8 of Clubs', '9 of Diamonds', '10 of Hearts', '6 of Diamonds', 'Ace of Hearts', '2 of Clubs', '7 of Spades', '7 of Clubs', '4 of Spades', '2 of Diamonds']",12,False
Ace of Clubs,"['Ace of Clubs', '8 of Clubs', '9 of Diamonds', '10 of Hearts', '6 of Diamonds', 'Ace of Hearts', '2 of Clubs', '7 of Spades', '7 of Clubs', '4 of Spades', '2 of Diamonds', 'King of Hearts']",0,True
Ace of Clubs,"['Ace of Clubs', '8 of Clubs', '9 of Diamonds', '10 of Hearts', '6 of Diamonds', 'Ace of Hearts', '2 of Clubs', '7 of Spades', '7 of Clubs', '4 of Spades', '2 of Diamonds', 'King of Hearts']",6,True
Ace of Clubs,"['Ace of Clubs', '8 of Clubs', '9 of Diamonds', '10 of Hearts', '6 of Diamonds', 'Ace of Hearts', '2 of Clubs', '7 of Spades', '7 of Clubs', '4 of Spades', '2 of Diamonds', 'King of Hearts']",0,True
5 of Hearts,"['5 of Hearts', '4 of Clubs', '4 of Hearts', '4 of Diamonds', '5 of Spades', '7 of Diamonds', '6 of Hearts', '10 of Diamonds', 'Jack of Clubs', 'King of Hearts', '8 of Diamonds']",23,False
5 of Hearts,"['5 of Hearts', '4 of Clubs', '4 of Hearts', '4 of Diamonds', '5 of Spades', '7 of Diamonds', '6 of Hearts', '10 of Diamonds', 'Jack of Clubs', 'King of Hearts', '8 of Diamonds', 'Ace of Hearts', '10 of Clubs', '8 of Clubs', '9 of Diamonds', '8 of Spades']",13,True
5 of Hearts,"['5 of Hearts', '4 of Clubs', '4 of Hearts', '4 of Diamonds', '5 of Spades', '7 of Diamonds', '6 of Hearts', '10 of Diamonds', 'Jack of Clubs', 'King of Hearts', '8 of Diamonds', 'Ace of Hearts', '10 of Clubs', '8 of Clubs', '9 of Diamonds', '8 of Spades', '6 of Diamonds']",0,True
5 of Hearts,"['5 of Hearts', '4 of Clubs', '4 of Hearts', '4 of Diamonds', '5 of Spades', '7 of Diamonds', '6 of Hearts', '10 of Diamonds', 'Jack of Clubs', 'King of Hearts', '8 of Diamonds', 'Ace of Hearts', '10 of Clubs', '8 of Clubs', '9 of Diamonds', '8 of Spades', '6 of Diamonds']",6,True
5 of Hearts,"['5 of Hearts', '4 of Clubs', '4 of Hearts', '4 of Diamonds', '5 of Spades', '7 of Diamonds', '6 of Hearts', '10 of Diamonds', 'Jack of Clubs', 'King of Hearts', '8 of Diamonds', 'Ace of Hearts', '10 of Clubs', '8 of Clubs', '9 of Diamonds', '8 of Spades', '6 of Diamonds']",0,True
8 of Clubs,"['8 of Clubs', 'Ace of Diamonds', '3 of Spades', '10 of Spades', '3 of Clubs', 'Jack of Clubs', '2 of Clubs', '6 of Spades', '10 of Diamonds', '7 of Diamonds', '9 of Hearts']",25,True
8 of Clubs,"['8 of Clubs', 'Ace of Diamonds', '3 of Spades', '10 of Spades', '3 of Clubs', 'Jack of Clubs', '2 of Clubs', '6 of Spades', '10 of Diamonds', '7 of Diamonds', '9 of Hearts', 'Queen of Hearts', '5 of Hearts']",14,False
8 of Clubs,"['8 of Clubs', 'Ace of Diamonds', '3 of Spades', '10 of Spades', '3 of Clubs', 'Jack of Clubs', '2 of Clubs', '6 of Spades', '10 of Diamonds', '7 of Diamonds', '9 of Hearts', 'Queen of Hearts', '5 of Hearts', 'Queen of Diamonds']",0,False
8 of Clubs,"['8 of Clubs', 'Ace of Diamonds', '3 of Spades', '10 of Spades', '3 of Clubs', 'Jack of Clubs', '2 of Clubs', '6 of Spades', '10 of Diamonds', '7 of Diamonds', '9 of Hearts', 'Queen of Hearts', '5 of Hearts', 'Queen of Diamonds']",6,False
8 of Clubs,"['8 of Clubs', 'Ace of Diamonds', '3 of Spades', '10 of Spades', '3 of Clubs', 'Jack of Clubs', '2 of Clubs', '6 of Spades', '10 of Diamonds', '7 of Diamonds', '9 of Hearts', 'Queen of Hearts', '5 of Hearts', 'Queen of Diamonds']",0,False
6 of Spades,"['6 of Spades', '2 of Hearts', '5 of Spades', '9 of Clubs', '5 of Diamonds', 'Queen of Spades', '2 of Diamonds', '4 of Diamonds', '5 of Hearts', 'Queen of Hearts', '3 of Clubs']",27,False
6 of Spades,"['6 of Spades', '2 of Hearts', '5 of Spades', '9 of Clubs', '5 of Diamonds', 'Queen of Spades', '2 of Diamonds', '4 of Diamonds', '5 of Hearts', 'Queen of Hearts', '3 of Clubs', '8 of Diamonds', 'King of Clubs']",14,True
6 of Spades,"['6 of Spades', '2 of Hearts', '5 of Spades', '9 of Clubs', '5 of Diamonds', 'Queen of Spades', '2 of Diamonds', '4 of Diamonds', '5 of Hearts', 'Queen of Hearts', '3 of Clubs', '8 of Diamonds', 'King of Clubs']",0,True
6 of Spades,"['6 of Spades', '2 of Hearts', '5 of Spades', '9 of Clubs', '5 of Diamonds', 'Queen of Spades', '2 of Diamonds', '4 of Diamonds', '5 of Hearts', 'Queen of Hearts', '3 of Clubs', '8 of Diamonds', 'King of Clubs']",7,True
6 of Spades,"['6 of Spades', '2 of Hearts', '5 of Spades', '9 of Clubs', '5 of Diamonds', 'Queen of Spades', '2 of Diamonds', '4 of Diamonds', '5 of Hearts', 'Queen of Hearts', '3 of Clubs', '8 of Diamonds', 'King of Clubs', '2 of Clubs']",0,True
4 of Hearts,"['4 of Hearts', 'Jack of Diamonds', '9 of Hearts', '5 of Hearts', 'King of Hearts', '2 of Clubs', '10 of Diamonds', 'Ace of Spades', '6 of Hearts', 'Jack of Spades', '7 of Clubs']",27,True
4 of Hearts,"['4 of Hearts', 'Jack of Diamonds', '9 of Hearts', '5 of Hearts', 'King of Hearts', '2 of Clubs', '10 of Diamonds', 'Ace of Spades', '6 of Hearts', 'Jack of Spades', '7 of Clubs']",14,False
4 of Hearts,"['4 of Hearts', 'Jack of Diamonds', '9 of Hearts', '5 of Hearts', 'King of Hearts', '2 of Clubs', '10 of Diamonds', 'Ace of Spades', '6 of Hearts', 'Jack of Spades', '7 of Clubs']",0,False
4 of Hearts,"['4 of Hearts', 'Jack of Diamonds', '9 of Hearts', '5 of Hearts', 'King of Hearts', '2 of Clubs', '10 of Diamonds', 'Ace of Spades', '6 of Hearts', 'Jack of Spades', '7 of Clubs']",7,False
4 of Hearts,"['4 of Hearts', 'Jack of Diamonds', '9 of Hearts', '5 of Hearts', 'King of Hearts', '2 of Clubs', '10 of Diamonds', 'Ace of Spades', '6 of Hearts', 'Jack of Spades', '7 of Clubs']",0,False
Queen of Spades,"['Queen of Spades', '2 of Hearts', '2 of Clubs', '3 of Clubs', '7 of Spades', '4 of Hearts', '3 of Spades', 'Queen of Hearts', '6 of Clubs', '8 of Hearts', '7 of Clubs']",34,False
Queen of Spades,"['Queen of Spades', '2 of Hearts', '2 of Clubs', '3 of Clubs', '7 of Spades', '4 of Hearts', '3 of Spades', 'Queen of Hearts', '6 of Clubs', '8 of Hearts', '7 of Clubs', 'Queen of Diamonds', '4 of Clubs', 'Jack of Spades', 'Ace of Diamonds', 'Ace of Hearts', '7 of Diamonds', '9 of Hearts']",16,False
Queen of Spades,"['Queen of Spades', '2 of Hearts', '2 of Clubs', '3 of Clubs', '7 of Spades', '4 of Hearts', '3 of Spades', 'Queen of Hearts', '6 of Clubs', '8 of Hearts', '7 of Clubs', 'Queen of Diamonds', '4 of Clubs', 'Jack of Spades', 'Ace of Diamonds', 'Ace of Hearts', '7 of Diamonds', '9 of Hearts', '5 of Clubs', '2 of Spades']",0,False
Queen of Spades,"['Queen of Spades', '2 of Hearts', '2 of Clubs', '3 of Clubs', '7 of Spades', '4 of Hearts', '3 of Spades', 'Queen of Hearts', '6 of Clubs', '8 of Hearts', '7 of Clubs', 'Queen of Diamonds', '4 of Clubs', 'Jack of Spades', 'Ace of Diamonds', 'Ace of Hearts', '7 of Diamonds', '9 of Hearts', '5 of Clubs', '2 of Spades']",7,False
Queen of Spades,"['Queen of Spades', '2 of Hearts', '2 of Clubs', '3 of Clubs', '7 of Spades', '4 of Hearts', '3 of Spades', 'Queen of Hearts', '6 of Clubs', '8 of Hearts', '7 of Clubs', 'Queen of Diamonds', '4 of Clubs', 'Jack of Spades', 'Ace of Diamonds', 'Ace of Hearts', '7 of Diamonds', '9 of Hearts', '5 of Clubs', '2 of Spades']",0,False
9 of Diamonds,"['9 of Diamonds', 'Jack of Spades', 'Queen of Clubs', '10 of Hearts', '4 of Hearts', '8 of Spades', '5 of Diamonds', '5 of Spades', '6 of Hearts', '7 of Hearts', '9 of Hearts']",34,False
9 of Diamonds,"['9 of Diamonds', 'Jack of Spades', 'Queen of Clubs', '10 of Hearts', '4 of Hearts', '8 of Spades', '5 of Diamonds', '5 of Spades', '6 of Hearts', '7 of Hearts', '9 of Hearts']",17,False
9 of Diamonds,"['9 of Diamonds', 'Jack of Spades', 'Queen of Clubs', '10 of Hearts', '4 of Hearts', '8 of Spades', '5 of Diamonds', '5 of Spades', '6 of Hearts', '7 of Hearts', '9 of Hearts', '10 of Spades']",0,False
9 of Diamonds,"['9 of Diamonds', 'Jack of Spades', 'Queen of Clubs', '10 of Hearts', '4 of Hearts', '8 of Spades', '5 of Diamonds', '5 of Spades', '6 of Hearts', '7 of Hearts', '9 of Hearts', '10 of Spades']",8,False
9 of Diamonds,"['9 of Diamonds', 'Jack of Spades', 'Queen of Clubs', '10 of Hearts', '4 of Hearts', '8 of Spades', '5 of Diamonds', '5 of Spades', '6 of Hearts', '7 of Hearts', '9 of Hearts', '10 of Spades', 'Queen of Hearts']",0,False
9 of Diamonds,"['9 of Diamonds', '2 of Spades', '7 of Diamonds', '5 of Hearts', 'Ace of Spades', '9 of Spades', '7 of Spades', 'Jack of Clubs', 'Queen of Diamonds', '3 of Diamonds', '9 of Hearts']",36,False
9 of Diamonds,"['9 of Diamonds', '2 of Spades', '7 of Diamonds', '5 of Hearts', 'Ace of Spades', '9 of Spades', '7 of Spades', 'Jack of Clubs', 'Queen of Diamonds', '3 of Diamonds', '9 of Hearts', '7 of Hearts', '2 of Clubs']",19,False
